SampleID,Absorbance
BPA_T3_Sediment1_R3,0.173695866
BPA_T3_Sediment1_R4,0.167523784
BPA_T3_Sediment2_R1,0.163261385
BPA_T3_Sediment2_R2,0.165341897
BPA_T3_Sediment2_R3,0.165908947
BPA_T3_Sediment2_R4,0.173181505
BPA_T3_Sediment3_R1,0.161805944
BPA_T3_Sediment3_R2,0.169002825
BPA_T3_Sediment3_R3,0.167608461
BPA_T3_Sediment3_R4,0.170456256
BPA_T3_Sediment4_R1,0.166895011
BPA_T3_Sediment4_R2,0.168881823
BPA_T3_Sediment4_R3,0.165864648
BPA_T3_Sediment4_R4,0.173828106
BPA_T3_Sediment5_R1,0.164589199
BPA_T3_Sediment5_R2,0.166929682
BPA_T3_Sediment5_R3,0.172561748
BPA_T3_Sediment5_R4,0.172283299
BPA_T3_Sediment6_R1,0.180675859
BPA_T3_Sediment6_R2,0.185979594
BPA_T3_Sediment6_R3,0.184823125
BPA_T3_Sediment6_R4,0.187039748
BPA_T4_Compost_R1,0.199525487
BPA_T4_Compost_R2,0.192572588
BPA_T4_Compost_R3,0.20234498
BPA_T4_Compost_R4,0.244605214
BPA_T4_Sediment1_R1,0.174351896
BPA_T4_Sediment1_R2,0.186289228
BPA_T4_Sediment1_R3,0.188112077
BPA_T4_Sediment1_R4,0.230089566
BPA_T4_Sediment2_R1,0.168680839
BPA_T4_Sediment2_R2,0.183099227
BPA_T4_Sediment2_R3,0.181791736
BPA_T4_Sediment2_R4,0.191085157
BPA_T4_Sediment3_R1,0.171775528
BPA_T4_Sediment3_R2,0.172513068
BPA_T4_Sediment3_R3,0.176191087
BPA_T4_Sediment3_R4,0.193276528
BPA_T4_Sediment4_R1,0.170442764
BPA_T4_Sediment4_R2,0.169498183
BPA_T4_Sediment4_R3,0.175854415
BPA_T4_Sediment4_R4,0.193379955
BPA_T4_Sediment5_R1,0.165881032
BPA_T4_Sediment5_R2,0.172130597
BPA_T4_Sediment5_R3,0.176232723
BPA_T4_Sediment5_R4,0.192535808
BPA_T4_Sediment6_R1,0.190595401
BPA_T4_Sediment6_R2,0.192984481
BPA_T4_Sediment6_R3,0.192213953
BPA_T4_Sediment6_R4,0.213363988
